"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1959","1959","AUD","Australian Dollar","6","Millions",,,16613,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1960","1960","AUD","Australian Dollar","6","Millions",,,17574,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1961","1961","AUD","Australian Dollar","6","Millions",,,17788,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1962","1962","AUD","Australian Dollar","6","Millions",,,19232,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1963","1963","AUD","Australian Dollar","6","Millions",,,21251,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1964","1964","AUD","Australian Dollar","6","Millions",,,23193,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1965","1965","AUD","Australian Dollar","6","Millions",,,24382,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1966","1966","AUD","Australian Dollar","6","Millions",,,27181,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1967","1967","AUD","Australian Dollar","6","Millions",,,29209,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1968","1968","AUD","Australian Dollar","6","Millions",,,32753,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1969","1969","AUD","Australian Dollar","6","Millions",,,36905,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1970","1970","AUD","Australian Dollar","6","Millions",,,40372,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1971","1971","AUD","Australian Dollar","6","Millions",,,44548,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,49821,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,60362,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,71256,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,83349,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,96204,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,105058,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1978","1978","AUD","Australian Dollar","6","Millions",,,118751,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1979","1979","AUD","Australian Dollar","6","Millions",,,134611,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1980","1980","AUD","Australian Dollar","6","Millions",,,152357,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1981","1981","AUD","Australian Dollar","6","Millions",,,175856,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1982","1982","AUD","Australian Dollar","6","Millions",,,189410,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1983","1983","AUD","Australian Dollar","6","Millions",,,213684,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1984","1984","AUD","Australian Dollar","6","Millions",,,235492,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1985","1985","AUD","Australian Dollar","6","Millions",,,260862,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1986","1986","AUD","Australian Dollar","6","Millions",,,286354,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1987","1987","AUD","Australian Dollar","6","Millions",,,324570,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1988","1988","AUD","Australian Dollar","6","Millions",,,368280,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1989","1989","AUD","Australian Dollar","6","Millions",,,404708,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1990","1990","AUD","Australian Dollar","6","Millions",,,415340,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1991","1991","AUD","Australian Dollar","6","Millions",,,423289,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1992","1992","AUD","Australian Dollar","6","Millions",,,444235,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1993","1993","AUD","Australian Dollar","6","Millions",,,466621,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1994","1994","AUD","Australian Dollar","6","Millions",,,495812,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1995","1995","AUD","Australian Dollar","6","Millions",,,528928,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1996","1996","AUD","Australian Dollar","6","Millions",,,556628,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1997","1997","AUD","Australian Dollar","6","Millions",,,589220,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1998","1998","AUD","Australian Dollar","6","Millions",,,621388,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1999","1999","AUD","Australian Dollar","6","Millions",,,662160,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2000","2000","AUD","Australian Dollar","6","Millions",,,706896,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2001","2001","AUD","Australian Dollar","6","Millions",,,756034,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,802694,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,863620,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,924926,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,998904,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,1088284,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,1179153,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,1261261,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,1304017,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,1418403,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,1500176,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,1536498,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,1598597,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,1623305,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,1657538,,
