LOCATION,Country,TRANSACT,Transaction,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1960,1960,PC,Percentage,0,Units,,,2.482656,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1961,1961,PC,Percentage,0,Units,,,1.294611,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1962,1962,PC,Percentage,0,Units,,,6.216107,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1963,1963,PC,Percentage,0,Units,,,6.980061,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1964,1964,PC,Percentage,0,Units,,,5.980438,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1965,1965,PC,Percentage,0,Units,,,2.37904,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1966,1966,PC,Percentage,0,Units,,,6.304945,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1967,1967,PC,Percentage,0,Units,,,5.094034,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1968,1968,PC,Percentage,0,Units,,,7.045584,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1969,1969,PC,Percentage,0,Units,,,7.175916,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1970,1970,PC,Percentage,0,Units,,,4.000933,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1971,1971,PC,Percentage,0,Units,,,3.910284,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1972,1972,PC,Percentage,0,Units,,,2.619376,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1973,1973,PC,Percentage,0,Units,,,4.106973,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1974,1974,PC,Percentage,0,Units,,,1.33631,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1975,1975,PC,Percentage,0,Units,,,2.588771,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1976,1976,PC,Percentage,0,Units,,,3.594833,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1977,1977,PC,Percentage,0,Units,,,0.89315,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1978,1978,PC,Percentage,0,Units,,,4.050027,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1979,1979,PC,Percentage,0,Units,,,3.035589,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1980,1980,PC,Percentage,0,Units,,,3.339495,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1981,1981,PC,Percentage,0,Units,,,3.324852,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1982,1982,PC,Percentage,0,Units,,,-2.224542,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1983,1983,PC,Percentage,0,Units,,,4.591739,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1984,1984,PC,Percentage,0,Units,,,5.278244,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1985,1985,PC,Percentage,0,Units,,,3.966274,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1986,1986,PC,Percentage,0,Units,,,2.559258,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1987,1987,PC,Percentage,0,Units,,,5.757341,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1988,1988,PC,Percentage,0,Units,,,3.875426,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1989,1989,PC,Percentage,0,Units,,,3.576486,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1990,1990,PC,Percentage,0,Units,,,-0.383072,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1991,1991,PC,Percentage,0,Units,,,0.42862,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1992,1992,PC,Percentage,0,Units,,,4.047425,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1993,1993,PC,Percentage,0,Units,,,3.980923,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1994,1994,PC,Percentage,0,Units,,,3.887106,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1995,1995,PC,Percentage,0,Units,,,3.856841,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1996,1996,PC,Percentage,0,Units,,,3.912835,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1997,1997,PC,Percentage,0,Units,,,4.613357,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1998,1998,PC,Percentage,0,Units,,,4.956325,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,1999,1999,PC,Percentage,0,Units,,,3.901171,,
AUS,Australia,B1_GA,Gross domestic product (output approach),G,Growth rate,2000,2000,PC,Percentage,0,Units,,,2.041417,,
