국가명,국가코드,기준연도,gdp
Australia,AUS,1959,16613.0
Australia,AUS,1960,17574.0
Australia,AUS,1961,17788.0
Australia,AUS,1962,19232.0
Australia,AUS,1963,21251.0
Australia,AUS,1964,23193.0
Australia,AUS,1965,24382.0
Australia,AUS,1966,27181.0
Australia,AUS,1967,29209.0
Australia,AUS,1968,32753.0
Australia,AUS,1969,36905.0
Australia,AUS,1970,40372.0
Australia,AUS,1971,44548.0
Australia,AUS,1972,49821.0
Australia,AUS,1973,60362.0
Australia,AUS,1974,71256.0
Australia,AUS,1975,83349.0
Australia,AUS,1976,96204.0
Australia,AUS,1977,105058.0
Australia,AUS,1978,118751.0
Australia,AUS,1979,134611.0
Australia,AUS,1980,152357.0
Australia,AUS,1981,175856.0
Australia,AUS,1982,189410.0
Australia,AUS,1983,213684.0
Australia,AUS,1984,235492.0
Australia,AUS,1985,260862.0
Australia,AUS,1986,286354.0
Australia,AUS,1987,324570.0
Australia,AUS,1988,368280.0
Australia,AUS,1989,404708.0
Australia,AUS,1990,415340.0
Australia,AUS,1991,423289.0
Australia,AUS,1992,444235.0
Australia,AUS,1993,466621.0
Australia,AUS,1994,495812.0
Australia,AUS,1995,528928.0
Australia,AUS,1996,556628.0
Australia,AUS,1997,589220.0
Australia,AUS,1998,621388.0
Australia,AUS,1999,662160.0
Australia,AUS,2000,706896.0
Australia,AUS,2001,756034.0
Australia,AUS,2002,802694.0
Australia,AUS,2003,863620.0
Australia,AUS,2004,924926.0
Australia,AUS,2005,998904.0
Australia,AUS,2006,1088284.0
Australia,AUS,2007,1179153.0
Australia,AUS,2008,1261261.0
Australia,AUS,2009,1304017.0
Australia,AUS,2010,1418403.0
Australia,AUS,2011,1500176.0
Australia,AUS,2012,1536498.0
Australia,AUS,2013,1598597.0
Australia,AUS,2014,1623305.0
Australia,AUS,2015,1657538.0
Australia,AUS,2016,1758828.0
Australia,AUS,2017,1842635.0
Australia,AUS,2018,1946613.0
Australia,AUS,2019,1979471.0
Australia,AUS,2020,2080419.0
Australia,AUS,2021,2309051.0
Australia,AUS,1960,2.482656
Australia,AUS,1961,1.294611
Australia,AUS,1962,6.216107
Australia,AUS,1963,6.980061
Australia,AUS,1964,5.980438
Australia,AUS,1965,2.37904
Australia,AUS,1966,6.304945
Australia,AUS,1967,5.094034
Australia,AUS,1968,7.045584
Australia,AUS,1969,7.175916
Australia,AUS,1970,4.000933
Australia,AUS,1971,3.910284
Australia,AUS,1972,2.619376
Australia,AUS,1973,4.106973
Australia,AUS,1974,1.33631
Australia,AUS,1975,2.588771
Australia,AUS,1976,3.594833
Australia,AUS,1977,0.89315
Australia,AUS,1978,4.050027
Australia,AUS,1979,3.035589
Australia,AUS,1980,3.339495
Australia,AUS,1981,3.324852
Australia,AUS,1982,-2.224542
Australia,AUS,1983,4.591739
Australia,AUS,1984,5.278244
Australia,AUS,1985,3.966274
Australia,AUS,1986,2.559258
Australia,AUS,1987,5.757341
Australia,AUS,1988,3.875426
Australia,AUS,1989,3.576486
Australia,AUS,1990,-0.383072
Australia,AUS,1991,0.42862
Australia,AUS,1992,4.047425
Australia,AUS,1993,3.980923
Australia,AUS,1994,3.887106
Australia,AUS,1995,3.856841
Australia,AUS,1996,3.912835
Australia,AUS,1997,4.613357
Australia,AUS,1998,4.956325
Australia,AUS,1999,3.901171
Australia,AUS,2000,2.041417
Australia,AUS,2001,3.99359
Australia,AUS,2002,3.111398
Australia,AUS,2003,4.216633
Australia,AUS,2004,3.153753
Australia,AUS,2005,2.740636
Australia,AUS,2006,3.777917
Australia,AUS,2007,3.56827
Australia,AUS,2008,1.870487
Australia,AUS,2009,2.206566
Australia,AUS,2010,2.391385
Australia,AUS,2011,3.902008
Australia,AUS,2012,2.578754
Australia,AUS,2013,2.579017
Australia,AUS,2014,2.152736
Australia,AUS,2015,2.730548
Australia,AUS,2016,2.282184
Australia,AUS,2017,2.883045
Australia,AUS,2018,2.171396
Australia,AUS,2019,-0.050885
Australia,AUS,2020,2.236212
Australia,AUS,2021,3.617589
Austria,AUT,1970,29047.294
Austria,AUT,1971,32427.439
Austria,AUT,1972,37057.943
Austria,AUT,1973,41997.559
Austria,AUT,1974,47801.145
Austria,AUT,1975,50702.938
Austria,AUT,1976,56006.921
Austria,AUT,1977,61911.611
Austria,AUT,1978,65483.749
Austria,AUT,1979,71830.084
Austria,AUT,1980,77151.79
Austria,AUT,1981,82215.016
Austria,AUT,1982,88359.974
Austria,AUT,1983,94146.775
Austria,AUT,1984,98857.49
Austria,AUT,1985,104329.954
Austria,AUT,1986,109880.625
Austria,AUT,1987,114085.965
Austria,AUT,1988,119645.441
Austria,AUT,1989,127981.232
Austria,AUT,1990,137548.696
Austria,AUT,1991,147464.36
Austria,AUT,1992,155789.392
Austria,AUT,1993,160927.978
Austria,AUT,1994,168954.605
Austria,AUT,1995,176608.75
Austria,AUT,1996,182540.88
Austria,AUT,1997,188723.76
Austria,AUT,1998,196346.61
Austria,AUT,1999,203850.58
Austria,AUT,2000,213606.48
Austria,AUT,2001,220525.08
Austria,AUT,2002,226735.22
Austria,AUT,2003,231862.46
Austria,AUT,2004,242348.26
Austria,AUT,2005,254075.03
Austria,AUT,2006,267824.45
Austria,AUT,2007,283977.97
Austria,AUT,2008,293761.91
Austria,AUT,2009,288044.02
Austria,AUT,2010,295896.64
Austria,AUT,2011,310128.66
Austria,AUT,2012,318653.04
Austria,AUT,2013,323910.2
Austria,AUT,2014,333146.07
Austria,AUT,2015,344269.23
Austria,AUT,2016,357607.95
Austria,AUT,2017,369361.87
Austria,AUT,2018,385274.09
Austria,AUT,2019,397169.54
Austria,AUT,2020,381042.48
Austria,AUT,2021,406148.67
Austria,AUT,2022,447652.7
Austria,AUT,1971,5.114969
Austria,AUT,1972,6.207861
Austria,AUT,1973,4.890435
Austria,AUT,1974,3.942138
Austria,AUT,1975,-0.363736
Austria,AUT,1976,4.578445
Austria,AUT,1977,5.079981
Austria,AUT,1978,-0.210653
Austria,AUT,1979,5.3567
Austria,AUT,1980,1.731485
Austria,AUT,1981,-0.144295
Austria,AUT,1982,2.011254
Austria,AUT,1983,2.973088
Austria,AUT,1984,0.051275
Austria,AUT,1985,2.498679
Austria,AUT,1986,2.301393
Austria,AUT,1987,1.357168
Austria,AUT,1988,3.29588
Austria,AUT,1989,3.887075
Austria,AUT,1990,4.345642
Austria,AUT,1991,3.441627
Austria,AUT,1992,2.093525
Austria,AUT,1993,0.526809
Austria,AUT,1994,2.402119
Austria,AUT,1995,2.667984
Austria,AUT,1996,2.349534
Austria,AUT,1997,2.093599
Austria,AUT,1998,3.581426
Austria,AUT,1999,3.556331
Austria,AUT,2000,3.375722
Austria,AUT,2001,1.267168
Austria,AUT,2002,1.651554
Austria,AUT,2003,0.941471
Austria,AUT,2004,2.73512
Austria,AUT,2005,2.244065
Austria,AUT,2006,3.454042
Austria,AUT,2007,3.727415
Austria,AUT,2008,1.460424
Austria,AUT,2009,-3.764578
Austria,AUT,2010,1.837094
Austria,AUT,2011,2.922797
Austria,AUT,2012,0.680446
Austria,AUT,2013,0.025505
Austria,AUT,2014,0.661273
Austria,AUT,2015,1.014502
Austria,AUT,2016,1.989437
Austria,AUT,2017,2.258572
Austria,AUT,2018,2.425385
Austria,AUT,2019,1.517389
Austria,AUT,2020,-6.453968
Austria,AUT,2021,4.556851
Austria,AUT,2022,4.996942
Belgium,BEL,1970,33102.33
Belgium,BEL,1971,36266.123
Belgium,BEL,1972,40599.196
Belgium,BEL,1973,46130.061
Belgium,BEL,1974,54105.54
Belgium,BEL,1975,59878.805
Belgium,BEL,1976,68055.986
Belgium,BEL,1977,73603.256
Belgium,BEL,1978,79043.163
Belgium,BEL,1979,84538.074
Belgium,BEL,1980,91938.57
Belgium,BEL,1981,96393.509
Belgium,BEL,1982,104307.846
Belgium,BEL,1983,110506.023
Belgium,BEL,1984,119389.867
Belgium,BEL,1985,126978.258
Belgium,BEL,1986,132908.805
Belgium,BEL,1987,138264.521
Belgium,BEL,1988,147935.633
Belgium,BEL,1989,160411.128
Belgium,BEL,1990,170096.82
Belgium,BEL,1991,178197.561
Belgium,BEL,1992,187120.977
Belgium,BEL,1993,192721.412
Belgium,BEL,1994,203106.897
Belgium,BEL,1995,210489.1
Belgium,BEL,1996,214287.1
Belgium,BEL,1997,224101.5
Belgium,BEL,1998,232623.8
Belgium,BEL,1999,242307.6
Belgium,BEL,2000,256376.4
Belgium,BEL,2001,264334.9
Belgium,BEL,2002,273255.9
Belgium,BEL,2003,281200.2
Belgium,BEL,2004,296819.7
Belgium,BEL,2005,310037.6
Belgium,BEL,2006,325151.5
Belgium,BEL,2007,343618.9
Belgium,BEL,2008,351743.1
Belgium,BEL,2009,346472.8
Belgium,BEL,2010,363140.1
Belgium,BEL,2011,375967.8
Belgium,BEL,2012,386174.7
Belgium,BEL,2013,392880.0
Belgium,BEL,2014,403003.3
Belgium,BEL,2015,416701.4
Belgium,BEL,2016,430085.3
Belgium,BEL,2017,445050.1
Belgium,BEL,2018,460050.8
Belgium,BEL,2019,478676.1
Belgium,BEL,2020,459827.4
Belgium,BEL,2021,502521.1
Belgium,BEL,2022,549456.2
Belgium,BEL,1971,3.985827
Belgium,BEL,1972,5.295604
Belgium,BEL,1973,6.381702
Belgium,BEL,1974,4.565258
Belgium,BEL,1975,-1.965942
Belgium,BEL,1976,5.652746
Belgium,BEL,1977,0.626155
Belgium,BEL,1978,2.841897
Belgium,BEL,1979,2.341073
Belgium,BEL,1980,4.444054
Belgium,BEL,1981,-0.279284
Belgium,BEL,1982,0.594987
Belgium,BEL,1983,0.311843
Belgium,BEL,1984,2.466383
Belgium,BEL,1985,1.651793
Belgium,BEL,1986,1.822762
Belgium,BEL,1987,2.306659
Belgium,BEL,1988,4.723209
Belgium,BEL,1989,3.469167
Belgium,BEL,1990,3.137402
Belgium,BEL,1991,1.833074
Belgium,BEL,1992,1.530655
Belgium,BEL,1993,-0.961873
Belgium,BEL,1994,3.226971
Belgium,BEL,1995,2.384757
Belgium,BEL,1996,1.321451
Belgium,BEL,1997,3.793658
Belgium,BEL,1998,1.961808
Belgium,BEL,1999,3.542743
Belgium,BEL,2000,3.716679
Belgium,BEL,2001,1.099619
Belgium,BEL,2002,1.706885
Belgium,BEL,2003,1.037983
Belgium,BEL,2004,3.571204
Belgium,BEL,2005,2.321737
Belgium,BEL,2006,2.55235
Belgium,BEL,2007,3.676881
Belgium,BEL,2008,0.446929
Belgium,BEL,2009,-2.020743
Belgium,BEL,2010,2.864293
Belgium,BEL,2011,1.694514
Belgium,BEL,2012,0.739217
Belgium,BEL,2013,0.459242
Belgium,BEL,2014,1.578533
Belgium,BEL,2015,2.041459
Belgium,BEL,2016,1.266686
Belgium,BEL,2017,1.61958
Belgium,BEL,2018,1.792945
Belgium,BEL,2019,2.261568
Belgium,BEL,2020,-5.362586
Belgium,BEL,2021,6.285931
Belgium,BEL,2022,3.247837
Canada,CAN,1970,92152.09
Canada,CAN,1971,100582.598
Canada,CAN,1972,112317.864
Canada,CAN,1973,131777.52
Canada,CAN,1974,157408.306
Canada,CAN,1975,177419.777
Canada,CAN,1976,204369.81
Canada,CAN,1977,225807.825
Canada,CAN,1978,250234.837
Canada,CAN,1979,285694.063
Canada,CAN,1980,321268.761
Canada,CAN,1981,368358.0
Canada,CAN,1982,388181.0
Canada,CAN,1983,421316.0
Canada,CAN,1984,461986.0
Canada,CAN,1985,500027.0
Canada,CAN,1986,526630.0
Canada,CAN,1987,574336.0
Canada,CAN,1988,626894.0
Canada,CAN,1989,671579.0
Canada,CAN,1990,695501.0
Canada,CAN,1991,701773.0
Canada,CAN,1992,718436.0
Canada,CAN,1993,747037.0
Canada,CAN,1994,791972.0
Canada,CAN,1995,831621.0
Canada,CAN,1996,859834.0
Canada,CAN,1997,906895.0
Canada,CAN,1998,940539.0
Canada,CAN,1999,1007917.0
Canada,CAN,2000,1106063.0
Canada,CAN,2001,1144535.0
Canada,CAN,2002,1193687.0
Canada,CAN,2003,1254742.0
Canada,CAN,2004,1335724.0
Canada,CAN,2005,1421573.0
Canada,CAN,2006,1496574.0
Canada,CAN,2007,1577660.0
Canada,CAN,2008,1657040.0
