국가명,국가코드,기준연도,gdp성장률
Australia,AUS,1960,2.482656
Australia,AUS,1961,1.294611
Australia,AUS,1962,6.216107
Australia,AUS,1963,6.980061
Australia,AUS,1964,5.980438
Australia,AUS,1965,2.37904
Australia,AUS,1966,6.304945
Australia,AUS,1967,5.094034
Australia,AUS,1968,7.045584
Australia,AUS,1969,7.175916
Australia,AUS,1970,4.000933
Australia,AUS,1971,3.910284
Australia,AUS,1972,2.619376
Australia,AUS,1973,4.106973
Australia,AUS,1974,1.33631
Australia,AUS,1975,2.588771
Australia,AUS,1976,3.594833
Australia,AUS,1977,0.89315
Australia,AUS,1978,4.050027
Australia,AUS,1979,3.035589
Australia,AUS,1980,3.339495
Australia,AUS,1981,3.324852
Australia,AUS,1982,-2.224542
Australia,AUS,1983,4.591739
Australia,AUS,1984,5.278244
Australia,AUS,1985,3.966274
Australia,AUS,1986,2.559258
Australia,AUS,1987,5.757341
Australia,AUS,1988,3.875426
Australia,AUS,1989,3.576486
Australia,AUS,1990,-0.383072
Australia,AUS,1991,0.42862
Australia,AUS,1992,4.047425
Australia,AUS,1993,3.980923
Australia,AUS,1994,3.887106
Australia,AUS,1995,3.856841
Australia,AUS,1996,3.912835
Australia,AUS,1997,4.613357
Australia,AUS,1998,4.956325
Australia,AUS,1999,3.901171
Australia,AUS,2000,2.041417
Australia,AUS,2001,3.99359
Australia,AUS,2002,3.111398
Australia,AUS,2003,4.216633
Australia,AUS,2004,3.153753
Australia,AUS,2005,2.740636
Australia,AUS,2006,3.777917
Australia,AUS,2007,3.56827
Australia,AUS,2008,1.870487
Australia,AUS,2009,2.206566
Australia,AUS,2010,2.391385
Australia,AUS,2011,3.902008
Australia,AUS,2012,2.578754
Australia,AUS,2013,2.579017
Australia,AUS,2014,2.152736
Australia,AUS,2015,2.730548
Australia,AUS,2016,2.282184
Australia,AUS,2017,2.883045
Australia,AUS,2018,2.171396
Australia,AUS,2019,-0.050885
Australia,AUS,2020,2.236212
Australia,AUS,2021,3.617589
Austria,AUT,1971,5.114969
Austria,AUT,1972,6.207861
Austria,AUT,1973,4.890435
Austria,AUT,1974,3.942138
Austria,AUT,1975,-0.363736
Austria,AUT,1976,4.578445
Austria,AUT,1977,5.079981
Austria,AUT,1978,-0.210653
Austria,AUT,1979,5.3567
Austria,AUT,1980,1.731485
Austria,AUT,1981,-0.144295
Austria,AUT,1982,2.011254
Austria,AUT,1983,2.973088
Austria,AUT,1984,0.051275
Austria,AUT,1985,2.498679
Austria,AUT,1986,2.301393
Austria,AUT,1987,1.357168
Austria,AUT,1988,3.29588
Austria,AUT,1989,3.887075
Austria,AUT,1990,4.345642
Austria,AUT,1991,3.441627
Austria,AUT,1992,2.093525
Austria,AUT,1993,0.526809
Austria,AUT,1994,2.402119
Austria,AUT,1995,2.667984
Austria,AUT,1996,2.349534
Austria,AUT,1997,2.093599
Austria,AUT,1998,3.581426
Austria,AUT,1999,3.556331
Austria,AUT,2000,3.375722
Austria,AUT,2001,1.267168
Austria,AUT,2002,1.651554
Austria,AUT,2003,0.941471
Austria,AUT,2004,2.73512
Austria,AUT,2005,2.244065
Austria,AUT,2006,3.454042
Austria,AUT,2007,3.727415
Austria,AUT,2008,1.460424
Austria,AUT,2009,-3.764578
Austria,AUT,2010,1.837094
Austria,AUT,2011,2.922797
Austria,AUT,2012,0.680446
Austria,AUT,2013,0.025505
Austria,AUT,2014,0.661273
Austria,AUT,2015,1.014502
Austria,AUT,2016,1.989437
Austria,AUT,2017,2.258572
Austria,AUT,2018,2.425385
Austria,AUT,2019,1.517389
Austria,AUT,2020,-6.453968
Austria,AUT,2021,4.556851
Austria,AUT,2022,4.996942
Belgium,BEL,1971,3.985827
Belgium,BEL,1972,5.295604
Belgium,BEL,1973,6.381702
Belgium,BEL,1974,4.565258
Belgium,BEL,1975,-1.965942
Belgium,BEL,1976,5.652746
