기준연도,기준월,기준일,평균값,1800년_이후_증가값
1974,5,19,333.37,50.39
1974,5,26,332.95,50.05
1974,6,2,332.35,49.59
1974,6,9,332.2,49.64
1974,6,16,332.37,50.06
1974,6,23,331.73,49.72
1974,6,30,331.69,50.03
1974,7,7,331.46,50.2
1974,7,14,330.83,50.01
1974,7,21,330.76,50.41
1974,7,28,329.81,49.97
1974,8,4,329.85,50.54
1974,8,11,329.15,50.37
1974,8,18,329.06,50.8
1974,8,25,328.33,50.54
1974,9,1,328.06,50.68
1974,9,8,327.56,50.53
1974,9,15,326.72,49.95
1974,9,22,326.99,50.38
1974,9,29,327.31,50.76
1974,10,6,327.07,50.49
1974,10,13,327.23,50.53
1974,10,20,327.4,50.51
1974,10,27,327.64,50.5
1974,11,3,327.8,50.39
1974,11,10,328.5,50.79
1974,11,17,328.61,50.59
1974,11,24,328.46,50.14
1974,12,1,328.8,50.2
1974,12,8,329.39,50.53
1974,12,15,329.78,50.68
1974,12,22,329.96,50.64
1974,12,29,330.38,50.86
1975,1,5,330.49,50.79
1975,1,12,330.59,50.72
1975,1,19,330.79,50.75
1975,1,26,331.24,51.03
1975,2,2,331.64,51.26
1975,2,9,331.11,50.55
1975,2,16,331.42,50.67
1975,2,23,331.96,51.0
1975,3,2,331.77,50.58
1975,3,9,331.64,50.22
1975,3,16,332.11,50.45
1975,3,23,331.9,49.98
1975,3,30,333.3,51.15
1975,4,6,332.78,50.4
1975,4,13,333.16,50.57
1975,4,20,333.28,50.51
1975,4,27,333.48,50.58
1975,5,4,333.94,50.95
1975,5,11,334.25,51.23
1975,5,18,333.46,50.47
1975,5,25,334.0,51.08
1975,6,1,333.96,51.18
1975,6,8,333.19,50.6
1975,6,15,333.23,50.88
1975,6,22,333.5,51.45
1975,6,29,333.0,51.29
1975,7,6,332.32,51.0
1975,7,13,331.83,50.94
1975,7,20,331.37,50.95
1975,7,27,331.22,51.31
1975,8,3,331.01,51.63
1975,8,10,330.38,51.53
1975,8,17,329.48,51.14
1975,8,24,328.73,50.87
1975,8,31,329.32,51.89
1975,9,7,329.42,52.35
1975,9,14,327.94,51.14
1975,9,21,327.95,51.32
1975,9,28,327.97,51.42
1975,10,5,,-999.99
1975,10,12,328.4,51.72
1975,10,19,328.73,51.87
1975,10,26,328.8,51.71
1975,11,2,329.03,51.65
1975,11,9,329.01,51.34
1975,11,16,329.22,51.24
1975,11,23,330.18,51.9
1975,11,30,329.72,51.16
1975,12,7,,-999.99
1975,12,14,,-999.99
1975,12,21,,-999.99
1975,12,28,,-999.99
1976,1,4,331.33,51.63
1976,1,11,331.53,51.66
1976,1,18,331.66,51.62
1976,1,25,331.88,51.67
1976,2,1,332.45,52.07
1976,2,8,332.51,51.95
1976,2,15,332.61,51.86
1976,2,22,333.49,52.53
1976,2,29,332.43,51.25
1976,3,7,332.88,51.51
1976,3,14,333.56,51.94
1976,3,21,334.33,52.46
1976,3,28,334.56,52.45
1976,4,4,335.06,52.71
1976,4,11,333.01,50.45
1976,4,18,334.7,51.96
1976,4,25,335.06,52.18
1976,5,2,334.17,51.2
1976,5,9,334.32,51.31
1976,5,16,335.29,52.28
1976,5,23,335.28,52.34
1976,5,30,334.43,51.62
1976,6,6,334.21,51.57
1976,6,13,334.17,51.77
1976,6,20,334.05,51.92
1976,6,27,,-999.99
1976,7,4,333.6,52.19
1976,7,11,333.48,52.5
1976,7,18,332.43,51.91
1976,7,25,332.24,52.21
1976,8,1,331.69,52.18
1976,8,8,330.7,51.72
1976,8,15,330.44,51.98
1976,8,22,330.23,52.26
1976,8,29,330.43,52.91
1976,9,5,329.53,52.38
1976,9,12,329.54,52.68
1976,9,19,328.61,51.95
1976,9,26,327.65,51.09
1976,10,3,328.54,51.98
1976,10,10,328.55,51.9
1976,10,17,329.28,52.47
1976,10,24,328.82,51.79
1976,10,31,329.4,52.11
1976,11,7,330.44,52.85
1976,11,14,330.17,52.27
1976,11,21,330.55,52.36
1976,11,28,330.68,52.2
1976,12,5,331.19,52.43
1976,12,12,332.38,53.38
1976,12,19,331.7,52.47
1976,12,26,332.38,52.94
1977,1,2,332.39,52.76
1977,1,9,332.5,52.68
1977,1,16,332.88,52.89
1977,1,23,333.02,52.88
1977,1,30,332.98,52.67
1977,2,6,333.23,52.75
1977,2,13,333.15,52.49
1977,2,20,333.18,52.32
1977,2,27,334.35,53.29
1977,3,6,334.3,53.01
1977,3,13,335.19,53.66
1977,3,20,335.32,53.53
1977,3,27,335.18,53.14
1977,4,3,336.01,53.74
